timestamp_utc,carpark,available_spaces,total_spaces,occupancy,status,parking_option,source_last_updated
2025-09-20 13:56:31,Civic,764,928,0.1767,,Short-term,
2025-09-20 13:56:31,Downtown,1138,1944,0.4146,,Short-term,
2025-09-20 13:56:31,Ronwood,525,678,0.2257,,Short-term,
2025-09-20 13:56:31,Toka Puia,393,420,0.0643,,Short-term,
2025-09-20 13:56:31,Victoria Street,666,895,0.2559,,Short-term,
2025-09-20 23:11:29,Civic,614,928,0.3384,,Short-term,
2025-09-20 23:11:29,Downtown,985,1944,0.4933,,Short-term,
2025-09-20 23:11:29,Ronwood,528,678,0.2212,,Short-term,
2025-09-20 23:11:29,Toka Puia,314,420,0.2524,,Short-term,
2025-09-20 23:11:29,Victoria Street,473,895,0.4715,,Short-term,
2025-09-20 23:44:18,Civic,614,928,0.3384,,Short-term,
2025-09-20 23:44:18,Downtown,946,1944,0.5134,,Short-term,
2025-09-20 23:44:18,Ronwood,528,678,0.2212,,Short-term,
2025-09-20 23:44:18,Toka Puia,314,420,0.2524,,Short-term,
2025-09-20 23:44:18,Victoria Street,422,895,0.5285,,Short-term,
